Designator,Footprint,Quantity,Value,LCSC Part #
BT1,CR1220-2,1,Battery_Cell,
"C1, C10, C11, C18, C2, C24, C3, C30, C36, C4, C42, C43, C44, C45, C46, C47, C54, C56, C9",0603,19,100nF,
C12,0603,1,220nF,C21120
"C13, C14, C48, C5, C6, C7",0603,6,220nF,
"C15, C19, C35, C38, C39, C40, C41",0603,7,100nF,C14663
"C16, C53, C55",0603,3,10nF,
C17,CP_Elec_6.3x5.4,1,10uF,
C21,CP_Elec_5x5.3,1,47uF,
C22,0603,1,1uF,C15849
C23,0603,1,12pF,C38523
"C25, C29, C31, C33, C57",0603,5,1uF,
C26,0603,1,12pF,
C27,0603,1,20pF,C1648
C28,0603,1,20pF,
C32,0603,1,2.2uF,C23630
C34,0603,1,2.2uF,
C37,CP_Elec_5x5.4,1,47uF,
C49,0603,1,3.3nF,
C50,0603,1,680pF,
C51,0603,1,330pF,
C52,0603,1,47pF,
C8,0603,1,470pF,C1620
"D1, D2, D3, D4, D7, D8, D9",0603,7,LED,
D10,0603,1,LED,C2290
D11,D_SOD-323_HandSoldering,1,1N4148WS,C2128
"D12, D5, D6",D_SOD-323_HandSoldering,3,1N4148WS,
"D13, D16, D25, D26, D29, D31, D32, D33",D_SOD-123,8,1N5819W,
D14,D_SMA,1,SS14,C2480
D15,D_SMA,1,SMBJ40A,
D17,SOT-23,1,BAT54S,C7420333
"D18, D19, D20, D21, D22, D23, D24, D27, D28, D30, D35",SOT-23,11,BAT54S,
D34,SOT-23,1,BAT54C,
F1,1206,1,0.5A,
F2,1206,1,1206,
IC1,SOIC127P600X175-8N,1,BTS4175SGA,
J1,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,1,Conn_01x04,
J10,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04,
J2,PinHeader_1x04_P2.54mm_Vertical,1,STLink,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,TYPE-C 16PIN 2MD(073),C2765186
J4,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
J5,CUI_MSD-1-A,1,THD2528-11SD-GF,
"J6, J7, J8",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
J9,15544582,1,1554458-2,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Ignition Voltage,
LED1,0603,1,RED,C2286
"LED2, LED3, LED4",0603,3,RED,SML-310LTT86
"Q1, Q11, Q2, Q3, Q4, Q6",TO-252-3_TabPin2,6,Q_NMOS_GDS,
"Q10, Q7, Q8, Q9",SOT-23,4,AO3400A,C344010
Q5,SOT-23,1,AO3400A,C20917
"R1, R102, R16, R2, R43, R95, R98",0603,7,100k,
R10,0603,1,2.4k,C22940
"R100, R101, R99",0603,3,33K,
"R103, R18, R37, R47, R49, R5, R6",0603,7,1k,
R104,0603,1,4.7K,
"R105, R106, R107, R108, R19, R20, R27, R3, R4, R64, R84, R85",0603,12,10K,
R109,0603,1,82K,
"R11, R12, R25, R26, R30, R34, R38, R39, R40, R48, R51, R92",0603,12,470r,
"R13, R28, R44, R65, R66, R71, R72, R73, R74",0603,9,470,
R14,0603,1,910,C140066
R15,0603,1,100k,C25803
R17,0603,1,1k,C21190
"R23, R24, R9",0603,3,2.4k,
"R29, R35, R36, R91",0603,4,2.49k,
R31,0603,1,470R,C23179
"R33, R59, R62, R63, R90, R94",0603,6,10k,C25804
"R41, R42, R56",0603,3,2k7,
R45,0603,1,10k,C21190
"R46, R60, R61, R89, R93",0603,5,100R,C22775
R50,0603,1,470R,C22962
"R52, R53, R54, R55",2512,4,15R,
R57,0603,1,220R,
R58,0603,1,1M,C22935
"R67, R68, R69, R70, R75, R76, R77, R78",0603,8,910,
"R7, R87, R88",0603,3,470r,RK73H2ATTD4700F
R79,0603,1,5.1K,C23186
R80,0603,1,5.1K,
R81,0603,1,22R,C23345
R82,0603,1,22R,
R83,0603,1,4.7K,C23162
R86,0603,1,2k7,C13167
R96,0603,1,470K,
R97,0603,1,12K,
SW1,SW_SPST_CK_RS282G05A3,1,SW_Push,TSA363G25-250B
SW2,SW_SPST_CK_RS282G05A3,1,SW_Push,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F407VGTx,C12345
U10,SOIC127P600X175-8N,1,MCP6002-xSN,
"U2, U4",SOIC127P599X175-8N,2,TC4424AVOA,C44150
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
"U5, U6",SOIC127P600X175-14N,2,MCP6004,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,
U8,TO-263-3_TabPin2,1,LM2940S-5.0,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8Mhz,C115962
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,C32346
