Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.05,-67.92,270.0,bottom
C1,185.775,-49.825,0.0,top
C10,199.0,-68.0,90.0,top
C11,198.55,-73.75,90.0,top
C12,199.275,-76.5,180.0,top
C13,199.55,-65.5,180.0,top
C14,199.275,-70.5,180.0,top
C15,150.0,-83.0,90.0,top
C16,156.5,-83.0,90.0,top
C17,139.95,-64.97,270.0,top
C18,128.95,-67.9,0.0,top
C19,173.0,-58.5,270.0,top
C2,151.25,-80.25,180.0,top
C21,137.9,-56.0,270.0,top
C22,151.25,-78.5275,180.0,top
C23,164.11,-84.93,180.0,top
C24,132.0,-78.8575,0.0,top
C25,132.0,-77.0275,0.0,top
C26,167.2,-84.95,0.0,top
C27,161.0,-81.75,270.0,top
C28,158.5,-81.75,270.0,top
C29,171.0,-78.25,0.0,top
C3,193.8,-87.0,90.0,top
C30,171.0,-79.75,180.0,top
C31,171.325,-82.75,0.0,top
C32,176.0,-60.5,180.0,top
C33,176.0,-59.0,180.0,top
C34,157.5,-55.0,0.0,top
C35,156.5,-74.75,90.0,top
C36,139.0,-51.25,0.0,top
C37,147.45,-62.0,180.0,top
C38,176.25,-72.725,90.0,top
C39,168.0,-78.475,90.0,top
C4,199.3,-81.88,180.0,top
C40,163.0,-78.725,90.0,top
C41,156.8,-57.7,270.0,top
C42,174.5,-82.75,0.0,top
C43,195.75,-58.25,270.0,top
C44,177.75,-83.25,270.0,top
C45,197.0,-68.0,90.0,top
C46,196.75,-78.025,90.0,top
C47,194.75,-91.625,180.0,top
C48,190.5,-87.95,0.0,top
C49,193.64,-88.63,180.0,bottom
C5,198.5,-62.975,270.0,top
C50,205.07,-77.96,90.0,bottom
C51,205.765,-86.15,0.0,bottom
C52,203.94,-82.97,90.0,bottom
C53,192.81,-83.83,270.0,bottom
C54,159.75,-75.275,90.0,bottom
C55,125.9,-54.8,90.0,bottom
C56,203.95,-88.71,270.0,bottom
C57,172.81,-74.87,0.0,top
C6,195.3,-84.6,0.0,top
C7,199.3,-84.35,180.0,top
C8,197.9,-91.6,270.0,top
C9,198.55,-79.631867,270.0,top
D1,139.5,-87.85,90.0,top
D10,141.25,-87.85,90.0,top
D11,167.9,-93.0,0.0,top
D12,167.9,-96.0,0.0,top
D13,134.5,-65.1,90.0,bottom
D14,125.3,-70.25,270.0,top
D15,131.0,-71.75,180.0,top
D16,161.25,-89.75,180.0,top
D17,200.55,-93.45,270.0,top
D18,204.9,-91.1375,270.0,top
D19,204.8,-67.6875,270.0,top
D2,137.75,-87.85,90.0,top
D20,204.7,-86.0325,270.0,top
D21,204.8,-55.8125,270.0,top
D22,204.801134,-61.5625,270.0,top
D23,204.8,-73.4375,270.0,top
D24,204.788193,-79.4375,270.0,top
D25,124.75,-70.6,90.0,bottom
D26,127.25,-69.25,90.0,bottom
D27,147.3125,-87.2,180.0,top
D28,153.6875,-87.2,180.0,top
D29,188.5,-50.65,90.0,top
D3,171.4,-90.0,0.0,top
D30,190.3625,-85.4,180.0,top
D31,124.1,-64.35,0.0,bottom
D32,130.1,-52.4,180.0,bottom
D33,125.3,-86.025,0.0,bottom
D34,162.6375,-75.025,180.0,bottom
D35,177.98,-75.68,0.0,top
D4,171.4125,-99.0,0.0,top
D5,167.85,-90.0,0.0,top
D6,167.85,-99.0,0.0,top
D7,171.4125,-93.0,0.0,top
D8,171.4,-96.0,0.0,top
D9,143.0,-87.85,90.0,top
F1,128.0,-62.9,90.0,bottom
F2,190.932788,-50.634423,90.0,top
IC1,137.0,-55.5,180.0,bottom
J1,200.05,-99.4,0.0,top
J10,206.78,-54.84,90.0,bottom
J2,178.082618,-52.868983,90.0,top
J3,197.52,-51.665,180.0,top
J4,200.57,-89.61,90.0,top
J5,184.65,-97.5,0.0,top
J6,181.045,-61.2,90.0,top
J7,180.77,-57.75,90.0,top
J8,139.405,-71.62,90.0,top
J9,116.25,-75.5,270.0,top
LED1,122.25,-53.4375,270.0,top
LED2,206.33,-94.22,180.0,top
LED3,148.11,-70.75,270.0,top
LED4,144.42,-70.72,270.0,top
Q1,126.275,-95.935,90.0,top
Q10,124.4625,-60.85,180.0,bottom
Q11,127.635,-91.07,0.0,bottom
Q2,152.525,-95.935,90.0,top
Q3,135.025,-95.935,90.0,top
Q4,143.775,-95.935,90.0,top
Q5,168.65,-50.8125,0.0,top
Q6,161.22,-95.96,90.0,top
Q7,157.0,-51.5,0.0,top
Q8,162.9375,-51.5,0.0,top
Q9,150.8125,-54.45,0.0,top
R1,191.75,-58.1,90.0,top
R10,174.4,-99.0,0.0,top
