pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
169.05,-126.5,-90.0,top,C1,,,C_Elec_8x10.2,220uF,smt
148.95,-98.55,180.0,top,C10,,,C_0805_2012Metric,0.1uF/100nF,smt
106.0,-90.7,0.0,top,C11,,,C_0805_2012Metric,0.1uF/100nF,smt
149.0,-107.35,90.0,top,C12,,,CP_Elec_5x5.4,22uF,smt
156.65,-109.25,90.0,top,C13,,,C_Elec_8x10.2,220uF,smt
165.25,-118.9,-90.0,top,C2,,,C_0805_2012Metric,100nF,smt
140.75,-116.65,-90.0,top,C3,,,CP_Elec_5x5.4,22uF,smt
105.1,-96.2,0.0,top,C4,,,C_0805_2012Metric,0.1uF/100nF,smt
109.1,-87.7,-90.0,top,C5,,,C_0805_2012Metric,22uF,smt
106.9,-87.7,-90.0,top,C6,,,C_0805_2012Metric,0.1uF/100nF,smt
154.4,-94.55,-90.0,top,C7,,,C_0805_2012Metric,22uF,smt
152.368,-94.55,-90.0,top,C8,,,C_0805_2012Metric,0.1uF/100nF,smt
148.2,-124.225,90.0,top,C9,,,C_0603_1608Metric,100nF,smt
162.9,-101.55,90.0,top,D2,,,D_SMA,SS14,smt
169.5,-92.45,0.0,top,D3,,,SOT-143,SP0503BAHT,smt
163.2,-110.0,90.0,top,D4,,,D_SMA,SS36,smt
170.15,-118.0,0.0,top,D5,,,D_SMA,SS36,smt
177.8508,-121.7,90.0,bottom,J1,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02_Pin,tht
141.45,-130.225,0.0,bottom,J2,,,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,JST 4P,tht
84.582,-90.98,0.0,top,J3,,,PinSocket_1x14_P2.54mm_Vertical,TFT SPI,tht
177.165,-94.361,90.0,top,J5,,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0,smt
178.9684,-103.6828,0.0,top,J6,,,PinSocket_1x04_P2.54mm_Vertical,TFT SD,tht
91.5,-87.25,0.0,top,J7,,,PinSocket_1x04_P2.54mm_Vertical,TFT SD,tht
97.025,-101.6,90.0,top,JP1,,,PinHeader_1x02_P2.54mm_Vertical,Jumper_2_Open,tht
170.85,-105.7,90.0,top,L1,,,L_10.4x10.4_H4.8,330uH,smt
156.65,-101.35,180.0,top,LED1,,,LED_0805_2012Metric,LED,smt
135.0,-87.2,0.0,top,LED2,,,LED_0805_2012Metric,BLUE,smt
135.4,-110.7,-90.0,top,LED3,,,LED_0805_2012Metric,GREEN,smt
171.9,-114.6,180.0,top,LED4,,,LED_0805_2012Metric,LED,smt
143.1375,-94.75,0.0,top,Q1,,,SOT-23,SS8050,smt
147.5,-94.65,0.0,top,Q2,,,SOT-23,SS8050,smt
106.4768,-93.9546,0.0,top,R1,,,R_0805_2012Metric,10K,smt
144.75,-98.7,0.0,top,R10,,,R_0805_2012Metric,10K,smt
138.75,-127.4,0.0,top,R11,,,R_0603_1608Metric,4.7K,smt
166.0824,-93.0636,180.0,top,R12,,,R_0805_2012Metric,5k1,smt
168.0,-96.35,180.0,top,R13,,,R_0805_2012Metric,5k1,smt
135.4,-121.8,0.0,top,R14,,,R_0805_2012Metric,120R,smt
136.15,-124.65,90.0,top,R15,,,R_0805_2012Metric,100R,smt
135.5,-118.35,180.0,top,R16,,,R_0805_2012Metric,100R,smt
138.5,-87.2,0.0,top,R17,,,R_0805_2012Metric,5k1,smt
135.4,-114.2,-90.0,top,R18,,,R_0805_2012Metric,560K,smt
168.05,-114.6,0.0,top,R19,,,R_0805_2012Metric,4.7K,smt
158.15,-95.25,90.0,top,R2,,,R_0805_2012Metric,22.1K,smt
152.6875,-101.35,0.0,top,R3,,,R_0805_2012Metric,470R,smt
158.1,-92.1,0.0,top,R4,,,R_0805_2012Metric,47.5K,smt
154.65,-90.4,90.0,top,R5,,,R_0805_2012Metric,2K,smt
154.15,-86.55,90.0,top,R6,,,R_0805_2012Metric,10K,smt
142.3,-87.15,0.0,top,R7,,,R_0805_2012Metric,0R,smt
142.25,-89.2,180.0,top,R8,,,R_0805_2012Metric,0R,smt
142.15,-91.3,180.0,top,R9,,,R_0805_2012Metric,10K,smt
146.6,-113.2,-90.0,bottom,SW1,,,SW_PUSH_6mm,SW_Push,tht
96.8,-89.05,-90.0,bottom,SW2,,,SW_PUSH_6mm,SW_Push,tht
141.85,-107.35,90.0,top,U1,,,SOT-223-3_TabPin2,AMS1117-3.3,smt
122.7,-93.745,0.0,top,U3,,,ESP32-WROOM-32D,ESP32-WROOM-32D,smt
149.3,-88.95,90.0,top,U4,,,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,CP2102N-Axx-xQFN28,smt
143.125,-123.795,180.0,top,U5,,,SOIC-8_3.9x4.9mm_P1.27mm,MCP2551-I-SN,smt
90.72,-105.7,-90.0,bottom,U6,,,ESP32-DevKitC,ESP32-DevKitC,tht
158.3,-125.9,-90.0,top,U7,,,TO-263-5_TabPin3,LM2596S-5,smt
