Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C16, C18, C2, C20, C24, C3, C30, C36, C4, C42, C44, C45, C46, C47, C49, C51, C55, C68, C9",0603,22,100nF,
"C12, C13, C14, C5, C50, C52, C6, C7",0603,8,220nF,
"C15, C57, C58, C59",0603,4,10nF,
C17,CP_Elec_6.3x5.4,1,10uF,
"C19, C35, C38, C39, C40, C41",0603,6,100nF,C14663
C21,CP_Elec_5x5.3,1,47uF,
"C22, C25, C29, C31, C33, C48, C69",0603,7,1uF,
"C23, C26",0603,2,18pF,C1647
"C27, C28",0603,2,6.8pF,C1679
"C32, C34, C53",0603,3,2.2uF,
C37,CP_Elec_5x5.4,1,47uF,
"C43, C56",0603,2,10uF,
C54,0603,1,22nF,
"C60, C61",0603,2,3.3nF,
"C62, C63",0603,2,680pF,
"C64, C65",0603,2,330pF,
"C66, C67",0603,2,47pF,
C8,0603,1,470pF,
"D1, D10, D2, D3, D31, D33, D35, D36, D4, D7, D8, D9",0603,12,LED,
"D11, D12, D32, D34, D43, D5, D6",D_SOD-323_HandSoldering,7,1N4148WS,
"D13, D25, D26, D29, D40",D_SOD-123,5,1N5819W,
"D14, D16, D30",D_SMA,3,SS14,C2480
D15,D_SMA,1,D_TVS,
"D17, D18, D19, D20, D21, D22, D23, D24, D27, D28, D38, D39, D42",SOT-23,13,BAT54S,
D41,SOT-23,1,BAT54C,
F1,1206,1,0.5A,
F2,1206,1,1206,C163133
IC1,TLE9201SG,1,TLE9201SG,
"J1, J6, J7",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
J2,PinHeader_1x04_P2.54mm_Vertical,1,STLink,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,C2765186
J5,CUI_MSD-1-A,1,MSD-1-A,
J9,S48BZROK2AR,1,S48B-ZROK-2A-R,
"JP1, JP12",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Ignition Voltage,
"JP10, JP4, JP5",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,PULLUP,DNP
"JP2, JP3",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,2,HALL_VR,DNP
"LED1, LED2, LED3",0603,3,RED,SML-310LTT86
P1,DRV8825,1,DRV8825,
P2,DIP-8_W7.62mm_Socket,1,Dual VR C,DNP
"Q1, Q11, Q12, Q2, Q3, Q4",SOT-223-3_TabPin2,6,Q_NMOS_GDS,
"Q10, Q6",SOT-223-3_TabPin2,2,BSP78,
"Q13, Q5, Q7, Q8, Q9",SOT-23,5,AO3400A,C344010
Q14,SOT-23,1,BC817,
"R1, R122, R123, R128, R129, R15, R16, R2, R43, R91, R93, R96",0603,12,100k,
"R10, R23, R24, R9, R95, R98",0603,6,2.4k,
"R100, R19, R20, R27, R3, R33, R4, R64, R7, R84, R85, R99",0603,12,10K,
"R103, R104, R109, R11, R110, R12, R13, R25, R26, R28, R31, R32, R34, R38, R39, R40, R44, R48, R50, R51, R65, R66, R71, R72, R73, R74",0603,26,470R,
"R105, R106, R52, R53, R54, R55",2512,6,15R,
"R111, R81, R82",0603,3,22R,
"R112, R46, R60, R61, R89",0603,5,100R,C22775
"R113, R117, R118, R119, R59, R62, R63, R90",0603,8,10K,C25804
"R114, R116",0603,2,68K,C25804
R115,0603,1,5.1R,C25804
"R120, R121, R130, R131",0603,4,33K,
"R124, R125",0603,2,470K,
"R126, R127",0603,2,12K,
"R14, R67, R68, R69, R70, R75, R76, R77, R78",0603,9,910R,
"R17, R18, R37, R47, R49, R5, R6, R92, R94, R97",0603,10,1k,
R21,0603,1,0R,
"R22, R35, R36",0603,3,2.49k,
"R41, R42, R56",0603,3,2k7,
R45,0603,1,10K,C21190
R57,0603,1,220R,
"R79, R80",0603,2,5.1K,
R8,0603,1,82K,
R83,0603,1,4.7K,
R86,0603,1,2k7,RK73B1JTTD272J
"R87, R88",0603,2,470R,RK73H2ATTD4700F
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,C354943
"TP1, TP2",TestPoint_Pad_D1.0mm,2,TestPoint,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F427VGTx,C117815
"U10, U2, U4",SOIC127P599X175-8N,3,TC4424A,
"U11, U5, U6",SOIC127P600X175-14N,3,MCP6004,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T/J/3,
U8,TO-263-3_TabPin2,1,LM2940S-5.0,
U9,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8Mhz,C115962
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,C32346
