Designator,Mid X,Mid Y,Rotation,Layer
C1,186.1,-44.4,0.0,top
C10,199.0,-68.0,90.0,top
C11,198.55,-73.75,90.0,top
C12,199.275,-76.5,180.0,top
C13,199.55,-65.6,180.0,top
C14,199.275,-70.5,180.0,top
C15,150.0,-83.0,90.0,top
C16,156.5,-83.0,90.0,top
C17,132.575,-44.95,270.0,top
C18,140.4,-58.3,0.0,top
C19,173.0,-58.5,270.0,top
C2,151.25,-80.25,180.0,top
C20,149.5,-47.7,180.0,top
C21,144.4,-61.2,90.0,top
C22,151.25,-78.5275,180.0,top
C23,164.025,-84.6,0.0,top
C24,132.0,-78.8575,0.0,top
C25,132.0,-77.0275,0.0,top
C26,167.28,-84.61,180.0,top
C27,161.0,-81.75,270.0,top
C28,158.5,-81.75,270.0,top
C29,171.0,-78.25,0.0,top
C3,193.375,-85.7,0.0,top
C30,171.0,-79.75,180.0,top
C31,171.325,-82.75,0.0,top
C32,176.025,-60.6,180.0,top
C33,176.0,-59.0,180.0,top
C34,157.5,-55.0,0.0,top
C35,156.5,-74.75,90.0,top
C36,149.6,-42.3,0.0,top
C37,163.6,-44.1,180.0,top
C38,176.25,-72.725,90.0,top
C39,168.0,-78.475,90.0,top
C4,199.3,-85.6,0.0,top
C40,163.53,-78.13,90.0,top
C41,157.5,-57.75,270.0,top
C42,174.5,-82.75,0.0,top
C43,193.3,-51.1,270.0,top
C44,177.75,-83.25,270.0,top
C45,197.0,-68.0,90.0,top
C46,196.75,-78.025,90.0,top
C47,140.0,-62.95,270.0,top
C48,138.15,-62.95,270.0,top
C49,201.3,-64.0,0.0,top
C5,166.9,-48.1,0.0,top
C50,201.3,-62.4,0.0,top
C51,201.3,-60.7,0.0,top
C52,201.3,-59.0,0.0,top
C53,193.75,-99.225,270.0,top
C54,184.2,-99.025,90.0,top
C55,160.4,-76.0,270.0,bottom
C56,118.425,-45.75,0.0,bottom
C57,116.65,-51.25,180.0,bottom
C58,118.375,-42.725,270.0,bottom
C59,203.4,-95.975,180.0,top
C6,195.7,-87.2,90.0,top
C60,206.65,-97.675,0.0,top
C61,202.775,-102.575,180.0,bottom
C62,206.65,-94.375,180.0,top
C63,208.15,-102.325,270.0,top
C64,193.275,-105.675,0.0,top
C65,195.725,-94.325,180.0,top
C66,199.85,-94.225,0.0,top
C67,191.9,-103.275,90.0,top
C68,196.725,-101.15,90.0,bottom
C69,199.3,-87.1,0.0,top
C7,201.05,-82.55,270.0,top
C8,189.7,-88.2,0.0,top
C9,198.55,-79.631867,270.0,top
D1,137.55,-87.925,90.0,top
D10,139.3,-87.925,90.0,top
D11,153.2125,-98.85,0.0,top
D12,153.19375,-101.3,0.0,top
D13,134.5,-65.1,90.0,bottom
D14,121.6,-42.6,180.0,top
D15,135.5,-60.775,270.0,top
D16,127.075,-47.275,270.0,top
D17,189.7625,-91.7,180.0,top
D18,193.8375,-91.65,180.0,top
D19,204.8,-67.6875,270.0,top
D2,135.8,-87.925,90.0,top
D20,204.8,-83.3625,270.0,top
D21,204.7,-54.2,270.0,top
D22,172.7625,-51.35,0.0,top
D23,204.8,-73.4375,270.0,top
D24,204.788193,-79.4375,270.0,top
D25,124.75,-70.6,90.0,bottom
D26,127.25,-69.25,90.0,bottom
D27,153.2625,-89.45,180.0,top
D28,159.4875,-89.5,180.0,top
D29,189.6,-46.0,270.0,top
D3,156.76,-96.4,0.0,top
D30,131.15,-67.175,180.0,top
D31,156.6875,-106.1,0.0,top
D32,153.175,-106.125,0.0,top
D33,156.75,-108.525,0.0,top
D34,153.175,-108.525,0.0,top
D35,142.8,-87.94375,90.0,top
D36,144.6,-87.95,90.0,top
D38,204.75,-63.7625,270.0,top
D39,204.757807,-59.7625,270.0,top
D4,156.725,-103.725,0.0,top
D40,119.975,-53.15,0.0,bottom
D41,163.3625,-76.35,180.0,bottom
D42,203.625,-89.4875,270.0,top
D43,179.9,-50.3,180.0,top
D5,153.2125,-96.4,0.0,top
D6,153.225,-103.725,0.0,top
D7,156.7125,-98.85,0.0,top
D8,156.73125,-101.3,0.0,top
D9,141.05,-87.925,90.0,top
F1,125.0,-64.0,180.0,bottom
F2,189.7,-51.1,90.0,top
IC1,126.25,-45.075,90.0,bottom
J1,176.0,-78.395,0.0,top
J2,176.43,-47.7,90.0,top
J3,197.2,-43.64,180.0,top
J5,170.45,-103.35,0.0,top
J6,181.545,-60.6,90.0,top
J7,180.92,-56.25,90.0,top
J9,117.4,-75.125,270.0,top
LED1,135.45,-51.4625,270.0,top
LED2,182.2,-93.4,0.0,top
LED3,145.75,-67.5,0.0,top
P1,190.86,-102.81,270.0,top
P2,156.36,-90.24,90.0,top
Q1,127.5,-105.2,270.0,top
Q10,128.625,-61.8,0.0,top
Q11,136.4,-94.4,90.0,top
Q12,127.9,-94.4,90.0,top
Q13,180.3,-42.0,0.0,top
Q14,186.05,-102.4125,180.0,top
Q2,144.575,-94.4,90.0,top
Q3,136.3,-105.2,270.0,top
Q4,145.1,-105.2,270.0,top
Q5,168.5625,-51.5,0.0,top
Q6,129.15,-54.5,0.0,top
Q7,157.0,-51.5,0.0,top
Q8,162.9375,-51.5,0.0,top
Q9,150.8125,-54.45,0.0,top
R1,191.75,-58.1,90.0,top
R10,159.975,-103.725,0.0,top
R100,149.0,-72.4,180.0,top
R103,142.8,-84.75625,270.0,top
R104,144.6,-84.75,270.0,top
R105,132.1375,-70.9,0.0,top
R106,125.5,-70.0,270.0,top
R109,198.9,-63.2,270.0,top
R11,137.55,-84.75,270.0,top
R110,198.9,-59.9,270.0,top
R111,124.25,-75.125,0.0,bottom
R112,185.8,-41.8,270.0,top
R113,183.3,-41.8,90.0,top
R114,190.6,-98.8,180.0,top
R115,190.6,-100.5,180.0,top
R116,187.65,-99.025,90.0,top
R117,185.675,-99.025,90.0,top
R118,181.9,-99.175,90.0,top
R119,133.85,-45.975,270.0,bottom
R12,135.8,-84.75,270.0,top
R120,199.5,-98.4,180.0,top
R121,203.375,-94.35,180.0,top
R122,203.325,-97.625,0.0,top
R123,200.475,-103.35,90.0,bottom
R124,206.675,-95.975,0.0,top
R125,204.675,-102.575,90.0,top
R126,208.025,-99.975,0.0,top
R127,206.4,-102.275,90.0,top
R128,209.275,-96.925,90.0,top
R129,197.5,-103.725,180.0,bottom
R13,174.5,-84.5,0.0,top
R130,197.575,-98.85,0.0,bottom
R131,193.825,-103.35,270.0,top
R14,171.325,-84.5,180.0,top
R15,189.75,-58.025,90.0,top
R16,187.75,-58.1,270.0,top
R17,189.75,-61.925,90.0,top
R18,187.75,-62.0,90.0,top
R19,154.75,-78.5,180.0,top
R2,185.75,-58.1,270.0,top
R20,170.5,-43.525,270.0,top
R21,199.3,-91.55,180.0,top
R22,204.725,-86.525,0.0,top
R23,159.925,-98.85,0.0,top
R24,159.94375,-101.3,0.0,top
